timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749038363207,3748,HTTP Request,200,OK,Thread Group 1-5,text,true,,1238821,114,89,89,https://bobobobo.com/,228,0,0
1749038362797,4178,HTTP Request,200,OK,Thread Group 1-16,text,true,,1238811,114,89,89,https://bobobobo.com/,128,0,0
1749038363478,3882,HTTP Request,200,OK,Thread Group 1-12,text,true,,1238823,114,93,93,https://bobobobo.com/,307,0,0
1749038363810,3621,HTTP Request,200,OK,Thread Group 1-58,text,true,,1238838,114,94,94,https://bobobobo.com/,486,0,141
1749038362912,4536,HTTP Request,200,OK,Thread Group 1-49,text,true,,1238810,114,94,94,https://bobobobo.com/,144,0,70
1749038364486,3021,HTTP Request,200,OK,Thread Group 1-4,text,true,,1238837,114,94,94,https://bobobobo.com/,135,0,0
1749038361518,5999,HTTP Request,200,OK,Thread Group 1-35,text,true,,1238832,114,95,95,https://bobobobo.com/,582,0,438
1749038365140,2813,HTTP Request,200,OK,Thread Group 1-6,text,true,,1238818,114,99,99,https://bobobobo.com/,134,0,0
1749038361811,6219,HTTP Request,200,OK,Thread Group 1-38,text,true,,1238829,114,100,100,https://bobobobo.com/,251,0,105
1749038361112,7022,HTTP Request,200,OK,Thread Group 1-31,text,true,,1238819,114,100,100,https://bobobobo.com/,539,0,388
1749038363646,4712,HTTP Request,200,OK,Thread Group 1-20,text,true,,1238822,114,100,100,https://bobobobo.com/,241,0,0
1749038363910,4464,HTTP Request,200,OK,Thread Group 1-59,text,true,,1238823,114,100,100,https://bobobobo.com/,156,0,70
1749038364960,3535,HTTP Request,200,OK,Thread Group 1-13,text,true,,1238833,114,100,100,https://bobobobo.com/,135,0,0
1749038363112,5387,HTTP Request,200,OK,Thread Group 1-51,text,true,,1238817,114,100,100,https://bobobobo.com/,148,0,77
1749038366010,2587,HTTP Request,200,OK,Thread Group 1-80,text,true,,1238849,114,100,100,https://bobobobo.com/,544,0,392
1749038364110,4536,HTTP Request,200,OK,Thread Group 1-61,text,true,,1238821,114,100,100,https://bobobobo.com/,157,0,92
1749038359713,8943,HTTP Request,200,OK,Thread Group 1-17,text,true,,1238830,114,100,100,https://bobobobo.com/,185,0,85
1749038364009,4696,HTTP Request,200,OK,Thread Group 1-60,text,true,,1238834,114,100,100,https://bobobobo.com/,118,0,57
